Column1,work_year,Experience,experience_level,EmpType,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,companyseze,,Ex level,Ex level FF
0,2020,Intermediate,MI,Full Time,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,Large,,EN,Junior
1,2020,Senior,SE,Full Time,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,Small,,MI,Intermediate
2,2020,Senior,SE,Full Time,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,Medium,,SE,Senior
3,2020,Intermediate,MI,Full Time,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,Small,,EX,Director
4,2020,Senior,SE,Full Time,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,Large,,,
5,2020,Junior,EN,Full Time,FT,Data Analyst,72000,USD,72000,US,100,US,L,Large,,,
6,2020,Senior,SE,Full Time,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Small,,Size,FF
7,2020,Intermediate,MI,Full Time,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,Large,,S,Small
8,2020,Intermediate,MI,Full Time,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Large,,M,Medium
9,2020,Senior,SE,Full Time,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,Small,,L,Large
10,2020,Junior,EN,Full Time,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,Small,,,
11,2020,Intermediate,MI,Full Time,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,Large,,,
12,2020,Junior,EN,Full Time,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,Medium,,Emp Type,Type
13,2020,Intermediate,MI,Full Time,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Large,,PT,Part Time
14,2020,Intermediate,MI,Full Time,FT,Data Analyst,85000,USD,85000,US,100,US,L,Large,,FT,Full Time
15,2020,Intermediate,MI,Full Time,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Large,,CT,Contract
16,2020,Junior,EN,Full Time,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,Small,,FL,Freelance
17,2020,Senior,SE,Full Time,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,Small,,,
18,2020,Junior,EN,Full Time,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,Medium,,,
19,2020,Intermediate,MI,Full Time,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,Medium,,,
20,2020,Intermediate,MI,Full Time,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,Medium,,,
21,2020,Intermediate,MI,Full Time,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,Large,,,
22,2020,Senior,SE,Full Time,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,Large,,,
23,2020,Intermediate,MI,Full Time,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Medium,,,
24,2020,Intermediate,MI,Full Time,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,Large,,,
25,2020,Director,EX,Full Time,FT,Director of Data Science,325000,USD,325000,US,100,US,L,Large,,,
